,Mission ID,Mission Date,Theater of Operations,Country,Aircraft Series,Takeoff Base,Takeoff Location,Takeoff Latitude,Takeoff Longitude,Target Country,Target City,Target Latitude,Target Longitude,Altitude,High Explosives,High Explosives Type,High Explosives Weight LBS,High Explosives Weight Tons,Incendiary Devices,Incendiary Devices Type,Incendiary Devices Weight LBS,Incendiary Devices Weight Tons,Fragmentation Devices,Fragmentation Devices Type,Fragmentation Devices Weight LBS,Fragmentation Devices Weight Tons,Total Weight LBS,Total Weight Tons
115842,116303,3/5/1942,CBI,GREAT BRITAIN,BLEN,"""MINGALADON AIRFIELD, RANGOON""",BURMA,16.907305,96.133222,BURMA,PEDAYE R CRAFT (PEDAW),16.666667,95.31666700000001,,,250 LB GP (GP-M57),2000,1.0,,,,,,,,,2000.0,1.0
115845,116306,3/6/1942,CBI,GREAT BRITAIN,BLEN,"""MINGALADON AIRFIELD, RANGOON""",BURMA,16.907305,96.133222,BURMA,PEGU TOWN,21.983333,95.533333,,,250 LB GP (GP-M57),3000,1.5,,,,,,,,,3000.0,1.5
115846,116307,3/6/1942,CBI,GREAT BRITAIN,BLEN,"""MINGALADON AIRFIELD, RANGOON""",BURMA,16.907305,96.133222,BURMA,THAYETCHAUNG E/POS,19.05,94.8666,,,250 LB GP (GP-M57),2000,1.0,,,,,,,,,2000.0,1.0
115917,116378,3/9/1942,ETO,GREAT BRITAIN,LGT,,,,,FRANCE,GOSNAY,50.5,2.6,,,,,6.0,,,,,,,,,,6.0
115930,116391,3/9/1942,CBI,GREAT BRITAIN,BLEN,MAGWE AIRFIELD,BURMA,20.1656,94.9414,BURMA,MOULMEIN AIRFIELD,16.5,97.6167,,,250 LB GP (GP-M57),5000,2.5,,,,,,,,,5000.0,2.5
115931,116392,3/10/1942,EAST AFRICA,GREAT BRITAIN,ALBA,,,,,,8K T MV OFF PANTELLERIA,36.8,11.8,,,,,,,,,0.0,,,,0.0,,
115950,116411,5/29/1944,ETO,,A20,,,,,FRANCE,ACHIET,50.13,2.75,11.0,,,,35.0,,,,,,,,,,35.0
115978,116439,5/29/1944,ETO,,B24,,,,,GERMANY,TUTOW,53.92,13.27,,,,,1.0,,,,,,,,,,1.0
115986,116447,5/29/1944,MTO,USA,B24,,,,,YUGOSLAVIA,DRVARE,44.35,16.38,210.0,,,,70.0,,,,,,,,,,70.0
115990,116451,5/29/1944,MTO,USA,B24,,,,,YUGOSLAVIA,PRIJEDOR,44.97,16.72,180.0,,,,78.0,,,,,,,,,,78.0
115996,116457,5/29/1944,MTO,USA,B24,,,,,YUGOSLAVIA,BOSNA NOVI,45.05,16.37,146.0,,,,53.0,,,,,,,,,,53.0
116005,116466,5/29/1944,MTO,USA,B24,,,,,YUGOSLAVIA,LIVNO,43.83,17.0,,,,,2.0,,,,,,,,,,2.0
116007,116468,5/29/1944,MTO,USA,B25,,,,,ITALY,LISANO,43.98,15.73,110.0,,,,48.0,,,,,,,,,,48.0
116010,116471,5/29/1944,MTO,USA,B24,,,,,YUGOSLAVIA,KNIN,44.03,16.2,,,,,2.0,,,,,,,,,,2.0
116012,116473,5/29/1944,MTO,,OB24,,,,,YUGOSLAVIA,ZEGRA,44.15,15.87,160.0,,,,68.0,,,,,,,,,,68.0
116014,116475,5/29/1944,MTO,,B25,,,,,ITALY,FIANO,45.25,7.52,120.0,,,,14.0,,,,,,,,,,14.0
116055,116516,4/30/1945,ETO,USA,B26,,,,,GERMANY,47 20 N 011 40 E,47.33,11.67,115.0,,,,,,,,,,,,29.0,,29.0
116103,116564,4/30/1945,ETO,,B26,,,,,GERMANY,48 40 N 010 40 E,48.67,10.67,102.0,,,,,,,,,,,,34.0,,34.0
116112,116573,4/30/1945,ETO,,B26,,,,,GERMANY,48 20 N 010 40 E,48.33,10.67,,,,,,,,,,,,,1.0,,1.0
116116,116577,4/30/1945,MTO,USA,A20,,,,,ITALY,46 20 N 011 00 E,46.33,11.0,120.0,,,,2.0,,,,,,,,,,2.0
116117,116578,4/30/1945,MTO,USA,A26,,,,,ITALY,46 00 N 010 00 E,46.0,10.0,13.0,,,,,,,,,,,,1.0,,1.0
116121,116582,4/30/1945,PTO,USA,A20,,,,,PHILIPPINE ISLANDS,BUNSULANHILLS,14.06666667,121.25,1.0,,250 LB GP (GP-M57),,6.0,,20 LB INCENDIARY,,,,,,,,6.0
116124,116585,4/30/1945,PTO,USA,A20,,,,,PHILIPPINE ISLANDS,LENATIN RIVER,14.65,121.38333329999999,1.0,,250 LB GP (GP-M57),,5.0,,,,,,,,,,5.0
116127,116588,4/30/1945,PTO,USA,A20,,,,,PHILIPPINE ISLANDS,MT BALIDBLRAN,14.65,121.28333329999998,1.0,,250 LB GP (GP-M57),,7.0,,,,,,,,,,7.0
116156,116617,12/5/1944,PTO,USA,B24,,,,,MARIANAS ISLANDS,MARIANAS,16.0,145.5,100.0,32.0,500 LB GP (GP-M43/M64),,8.0,,,,,,,,,,8.0
116158,116619,12/5/1944,PTO,USA,P40,,,,,PHILIPPINE ISLANDS,WRIGHT,11.75,125.0,15.0,32.0,500 LB GP (GP-M43/M64),,8.0,,,,,,,,,,8.0
116159,116620,12/5/1944,CBI,USA,B24,,,,,BURMA,EARTHQUAKE ISLA,24.95,94.03333333,82.0,24.0,500 LB GP (GP-M43/M64),,6.0,,,,,,,,,,6.0
116160,116621,12/5/1944,PTO,USA,A20,,,,,NEW GUINEA,ANGUA,-3.3,143.56666669999998,,24.0,250 LB GP (GP-M57),,3.0,,,,,,,,,,3.0
116170,116631,12/5/1944,CBI,USA,P51,,,,,CHINA,PENGTSEH,29.93333333,116.7,1.0,16.0,250 LB GP (GP-M57),,2.0,,,,,,,,,,2.0
116172,116633,12/5/1944,CBI,USA,B24,,,,,CHINA,YELLOW RIVER,34.95,113.65,50.0,12.0,500 LB GP (GP-M43/M64),,3.0,,,,,,,,,,3.0
116185,116646,12/5/1944,CBI,USA,P47,,,,,BURMA,KUNMONG,20.8,98.35,,8.0,500 LB GP (GP-M43/M64),,2.0,,,,,,,,,,2.0
116261,116722,3/10/1942,ETO,GREAT BRITAIN,MED,,,,,GERMANY,RECKLINGHAUSEN,51.6,7.18,,,,,,,,,,,,,,,
116264,116725,3/11/1942,CBI,GREAT BRITAIN,BLEN,MAGWE AIRFIELD,BURMA,20.1656,94.9414,BURMA,PYUNTA RR BRIDGE,17.866666,96.73333000000001,,,250 LB GP (GP-M57),5000,2.5,,,,,,,,,5000.0,2.5
116278,116739,3/12/1942,CBI,GREAT BRITAIN,BLEN,MAGWE AIRFIELD,BURMA,20.1656,94.9414,BURMA,HMAWBI MT,17.06666667,96.11666667,,,250 LB GP (GP-M57),1000,0.5,,,,,,,,,1000.0,0.5
116279,116740,3/12/1942,CBI,GREAT BRITAIN,BLEN,MAGWE AIRFIELD,BURMA,20.1656,94.9414,BURMA,GULF OF MARTABAN R/CRAFT,16.63333333,96.86666667,,,250 LB GP (GP-M57),1000,0.5,,,,,,,,,1000.0,0.5
116306,116767,3/13/1942,MTO,GREAT BRITAIN,WELL,,,,,LIBYA,MEKILI,32.17,22.28,,,,,,,,,0.0,,,,0.0,,
116308,116769,3/13/1942,CBI,GREAT BRITAIN,BLEN,MAGWE AIRFIELD,BURMA,20.1656,94.9414,BURMA,RANGOON R/CRAFT,16.769211,96.158739,,,250 LB GP (GP-M57),1000,0.5,,,,,,,,,1000.0,0.5
116313,116774,3/14/1942,MTO,GREAT BRITAIN,,,,,,GREECE,RHODES,36.41,28.09,,,,,,,,,0.0,,,,0.0,,
116320,116781,3/16/1942,CBI,GREAT BRITAIN,BLEN,MAGWE AIRFIELD,BURMA,20.1656,94.9414,BURMA,YANDOON R/CRAFT,16.7833,96.15,,,250 LB GP (GP-M57),6000,3.0,,,,,,,,,6000.0,3.0
116322,116783,3/17/1942,EAST AFRICA,GREAT BRITAIN,SWORD,,,,,,2 MV S OF LAMPEDUSA,35.25,12.5,,,,,,,,,0.0,,,,0.0,,
116323,116784,3/17/1942,EAST AFRICA,GREAT BRITAIN,SWORD,,,,,,2K T MV E OF TRIPOLI HARBOR,33.0,13.75,,,,,,,,,0.0,,,,0.0,,
116325,116786,3/17/1942,CBI,GREAT BRITAIN,BLEN,MAGWE AIRFIELD,BURMA,20.1656,94.9414,BURMA,HMAWBI VILLAGE,17.1167,96.0667,,,250 LB GP (GP-M57),4000,2.0,,,,,,,,,4000.0,2.0
116333,116794,3/20/1942,MTO,GREAT BRITAIN,WELL,,,,,LIBYA,BERCA,32.5,20.8,,,,,,,,,0.0,,,,0.0,,
