,Mission ID,Mission Date,Theater of Operations,Country,Aircraft Series,Takeoff Base,Takeoff Location,Takeoff Latitude,Takeoff Longitude,Target Country,Target City,Target Latitude,Target Longitude,Altitude,High Explosives,High Explosives Type,High Explosives Weight LBS,High Explosives Weight Tons,Incendiary Devices,Incendiary Devices Type,Incendiary Devices Weight LBS,Incendiary Devices Weight Tons,Fragmentation Devices,Fragmentation Devices Type,Fragmentation Devices Weight LBS,Fragmentation Devices Weight Tons,Total Weight LBS,Total Weight Tons
11743,11744,9/28/1943,MTO,USA,A36,SELE AIRFIELD,ITALY,40.497397,14.943019,ITALY,BENEVENTO,41.13,14.75,,0,500 LB GP (GP-M43/M64),,0,,,,,,,,,,0
11744,11745,9/28/1943,MTO,USA,A36,SELE AIRFIELD,ITALY,40.497397,14.943019,ITALY,SAN SALVATORE,44.73,9.37,,0,500 LB GP (GP-M43/M64),,0,,,,,,,,,,0
12039,12040,10/1/1943,MTO,USA,A36,SELE AIRFIELD,ITALY,40.497397,14.943019,ITALY,CAROVILLI,41.72,14.3,,40,500 LB GP (GP-M43/M64),,10,,,,,,,,,,10
12040,12041,10/1/1943,MTO,USA,A36,SELE AIRFIELD,ITALY,40.497397,14.943019,ITALY,MONDRAGONE,41.12,13.87,,32,500 LB GP (GP-M43/M64),,8,,,,,,,,,,8
12042,12043,10/1/1943,MTO,USA,A36,SELE AIRFIELD,ITALY,40.497397,14.943019,ITALY,MAGLIANO,42.6,11.3,,20,500 LB GP (GP-M43/M64),,5,,,,,,,,,,5
12340,12341,10/2/1943,MTO,USA,A36,SELE AIRFIELD,ITALY,40.497397,14.943019,ITALY,VOLTURNO,41.02,13.92,,32,500 LB GP (GP-M43/M64),,8,,,,,,,,,,8
12348,12349,10/2/1943,EAST AFRICA,GREAT BRITAIN,WELL,OUDNA,TUNISIA,36.649608,10.121936,,FORMIA COAST ROAD,41.25,13.62,,,,,,,,,0,,,,0,,59
12349,12350,10/2/1943,EAST AFRICA,GREAT BRITAIN,WELL,OUDNA,TUNISIA,36.649608,10.121936,,GRAZZANISE BRIDGES,41.1,14.12,,,,,,,,,0,,,,0,,50
12672,12673,10/4/1943,MTO,USA,A36,SELE AIRFIELD,ITALY,40.497397,14.943019,ITALY,41 00 N 015 00 E,41,15,,0,500 LB GP (GP-M43/M64),,0,,,,,,,,,,0
12840,12841,8/10/1944,,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,42.48,13.55,,KRALJEVO M/Y,43.72,20.7,,,,,,,,,0,,,,0,,109.75
13221,13222,10/6/1943,MTO,USA,A36,SELE AIRFIELD,ITALY,40.497397,14.943019,ITALY,42 00 N 013 00 E,42,13,,16,500 LB GP (GP-M43/M64),,4,,,,,,,,,,4
14130,14131,10/10/1943,EAST AFRICA,GREAT BRITAIN,WELL,OUDNA,TUNISIA,36.649608,10.121936,,TERRACINA COAST ROAD,41.27,13.25,,,,,,,,,0,,,,0,,96.5
14427,14428,10/12/1943,MTO,GREAT BRITAIN,WELL,OUDNA,TUNISIA,36.649608,10.121936,ITALY,CIVITAVECCHIA RR BRIDGES,43.18,16.62,,,,,,,,,0,,,,0,,85
14439,14440,10/13/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,PONTELATONE,40,13,,38,500 LB GP (GP-M43/M64),,9.5,,,,,,,,,,9.5
14445,14446,10/13/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982761,ITALY,VOLTURNO,41.02,13.92,,14,500 LB GP (GP-M43/M64),,3.5,,,,,,,,,,3.5
14458,14459,10/13/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982761,ITALY,PONTE SAN MARTINO,45.6,7.8,,0,500 LB GP (GP-M43/M64),,0,,,,,,,,,,0
14469,14470,10/14/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982761,ITALY,CANCELLO,40.98,14.4,,22,500 LB GP (GP-M43/M64),,5.5,,,,,,,,,,5.5
14470,14471,10/14/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982761,ITALY,FORMICOLA,41.22,14.22,,14,500 LB GP (GP-M43/M64),,3.5,,,,,,,,,,3.5
14479,14480,10/14/1943,EAST AFRICA,GREAT BRITAIN,236/330 WINGS,93,OUDNA,9.5375,36.649608,,TALAMONE,42.55,11.08,47,,,,,,,,,0,,,,0,
14736,14737,10/15/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982761,ITALY,SPARANISE,41.2,14.12,,0,500 LB GP (GP-M43/M64),,0,,,,,,,,,,0
14758,14759,10/16/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982761,ITALY,ALIFE,41.32,14.28,,44,500 LB GP (GP-M43/M64),,11,,,,,,,,,,11
14763,14764,10/16/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982761,ITALY,FRANCOLISE,41.2,14.03,,24,500 LB GP (GP-M43/M64),,6,,,,,,,,,,6
14769,14770,10/16/1943,EAST AFRICA,GREAT BRITAIN,WELL,OUDNA,TUNISIA,36.649608,10.121936,,ROME CASALE L/G,41.9,12.47,,,,,,,,,0,,,,0,,20
15013,15014,10/17/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982761,ITALY,NOCELLETA,40.87,14.3,,24,500 LB GP (GP-M43/M64),,6,,,,,,,,,,6
15077,15078,10/19/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982761,ITALY,BAIA A LATINA,41.3,14.25,,48,500 LB GP (GP-M43/M64),,12,,,,,,,,,,12
15080,15081,10/19/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982761,ITALY,ISERNIA,41.6,14.23,,32,500 LB GP (GP-M43/M64),,8,,,,,,,,,,8
15319,15320,10/20/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,SAN GATA,38.08,16.53,,28,500 LB GP (GP-M43/M64),,7,,,,,,,,,,7
15331,15332,10/20/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,S CESARIO,40.28,18.15,,0,500 LB GP (GP-M43/M64),,0,,,,,,,,,,0
15332,15333,10/20/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982761,ITALY,ARCE,41.6,13.6,,0,500 LB GP (GP-M43/M64),,0,,,,,,,,,,0
15338,15339,10/20/1943,EAST AFRICA,GREAT BRITAIN,WELL,OUDNA,TUNISIA,36.649608,10.121936,,FURBARA A/D,41,12,,,,,,,,,0,,,,0,,69.5
15624,15625,10/21/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982761,ITALY,CASSINE,44.73,8.53,,0,500 LB GP (GP-M43/M64),,0,,,,,,,,,,0
15668,15669,10/22/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982761,ITALY,ORBETELLO,42.45,11.22,,23,500 LB GP (GP-M43/M64),,5.75,,,,,,,,,,5.75
15671,15672,10/22/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982761,ITALY,ROME,41.9,12.47,,11,500 LB GP (GP-M43/M64),,2.75,,,,,,,,,,2.75
15919,15920,10/22/1943,MTO,GREAT BRITAIN,WELL,OUDNA,TUNISIA,36.649608,10.121936,GREECE,PORTO CIVITANOVA,43.3,13.73,10,,,,,,,,0,,,,0,,65
15935,15936,10/23/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,COSENZA,39.27,16.25,,92,500 LB GP (GP-M43/M64),,23,,,,,,,,,,23
15940,15941,10/23/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982761,ITALY,AQUINO,41.48,13.7,,16,500 LB GP (GP-M43/M64),,4,,,,,,,,,,4
